StockCode,InvoiceDate,Quantity
85123A,12/1/2010 8:26,6
85123A,12/1/2010 9:02,6
85123A,12/1/2010 9:32,6
85123A,12/1/2010 10:19,64
85123A,12/1/2010 10:39,32
85123A,12/1/2010 10:51,6
85123A,12/1/2010 11:21,4
85123A,12/1/2010 11:33,8
85123A,12/1/2010 12:36,6
85123A,12/1/2010 12:43,3
85123A,12/1/2010 14:11,32
85123A,12/1/2010 14:32,4
85123A,12/1/2010 16:01,128
85123A,12/1/2010 16:11,128
85123A,12/1/2010 16:52,6
85123A,12/1/2010 17:06,9
85123A,12/1/2010 17:22,6
85123A,12/2/2010 8:32,6
85123A,12/2/2010 8:34,6
85123A,12/2/2010 9:29,6
85123A,12/2/2010 9:41,6
85123A,12/2/2010 9:44,6
85123A,12/2/2010 10:54,6
85123A,12/2/2010 10:56,6
85123A,12/2/2010 12:23,12
85123A,12/2/2010 12:25,6
85123A,12/2/2010 13:49,1
85123A,12/2/2010 14:04,12
85123A,12/2/2010 14:06,6
85123A,12/2/2010 14:42,12
85123A,12/2/2010 15:24,6
85123A,12/2/2010 15:26,12
85123A,12/2/2010 15:40,32
85123A,12/2/2010 17:24,160
85123A,12/2/2010 17:48,6
85123A,12/2/2010 18:15,2
85123A,12/3/2010 10:33,2
85123A,12/3/2010 10:43,2
85123A,12/3/2010 11:19,2
85123A,12/3/2010 11:36,5
85123A,12/3/2010 14:18,7
85123A,12/3/2010 14:54,6
85123A,12/3/2010 15:19,1
85123A,12/5/2010 10:52,6
85123A,12/5/2010 10:58,1
85123A,12/5/2010 11:12,3
85123A,12/5/2010 11:12,2
85123A,12/5/2010 11:40,2
85123A,12/5/2010 11:40,1
85123A,12/5/2010 11:45,6
85123A,12/5/2010 12:13,1
85123A,12/5/2010 12:13,128
85123A,12/5/2010 12:44,3
85123A,12/5/2010 13:00,1
85123A,12/5/2010 15:15,32
85123A,12/5/2010 16:24,12
85123A,12/6/2010 9:58,2
85123A,12/6/2010 10:05,6
85123A,12/6/2010 10:08,9
85123A,12/6/2010 10:19,6
85123A,12/6/2010 11:38,4
85123A,12/6/2010 11:58,24
85123A,12/6/2010 12:06,6
85123A,12/6/2010 13:35,12
85123A,12/6/2010 13:59,32
85123A,12/6/2010 14:05,2
85123A,12/6/2010 14:36,6
85123A,12/6/2010 15:14,32
85123A,12/6/2010 15:35,6
85123A,12/6/2010 16:57,14
85123A,12/7/2010 9:13,6
85123A,12/7/2010 9:51,32
85123A,12/7/2010 10:04,128
85123A,12/7/2010 11:30,32
85123A,12/7/2010 11:45,6
85123A,12/7/2010 12:45,-1
85123A,12/7/2010 13:01,32
85123A,12/7/2010 13:13,5
85123A,12/7/2010 13:16,19
85123A,12/7/2010 13:18,6
85123A,12/7/2010 13:28,6
85123A,12/7/2010 13:53,32
85123A,12/7/2010 15:28,4
85123A,12/7/2010 15:48,12
85123A,12/7/2010 16:20,6
85123A,12/7/2010 18:36,5
85123A,12/8/2010 8:58,12
85123A,12/8/2010 9:51,6
85123A,12/8/2010 11:16,3
85123A,12/8/2010 11:31,32
85123A,12/8/2010 12:06,1
85123A,12/8/2010 12:17,1
85123A,12/8/2010 12:17,2
85123A,12/8/2010 12:36,1
85123A,12/8/2010 13:03,12
85123A,12/8/2010 14:25,2
85123A,12/8/2010 14:43,12
85123A,12/8/2010 14:50,6
85123A,12/8/2010 15:12,5
85123A,12/8/2010 15:16,12
85123A,12/8/2010 16:45,32
85123A,12/8/2010 16:48,12
85123A,12/9/2010 8:34,6
85123A,12/9/2010 10:42,10
85123A,12/9/2010 11:28,14
85123A,12/9/2010 11:30,12
85123A,12/9/2010 12:13,32
85123A,12/9/2010 12:59,6
85123A,12/9/2010 13:03,8
85123A,12/9/2010 13:34,32
85123A,12/9/2010 13:47,8
85123A,12/9/2010 13:57,32
85123A,12/9/2010 14:09,7
85123A,12/9/2010 14:44,14
85123A,12/9/2010 14:55,1
85123A,12/9/2010 16:08,6
85123A,12/9/2010 16:57,4
85123A,12/9/2010 18:09,3
85123A,12/10/2010 9:48,64
85123A,12/10/2010 9:51,1
85123A,12/10/2010 10:18,6
85123A,12/10/2010 10:26,12
85123A,12/10/2010 10:47,5
85123A,12/10/2010 11:01,3
85123A,12/10/2010 12:14,4
85123A,12/10/2010 12:20,8
85123A,12/10/2010 12:29,32
85123A,12/10/2010 12:42,6
85123A,12/10/2010 13:06,6
85123A,12/10/2010 13:48,6
85123A,12/10/2010 14:59,12
85123A,12/10/2010 15:01,-1
85123A,12/12/2010 11:06,3
85123A,12/12/2010 11:17,2
85123A,12/12/2010 11:26,1
85123A,12/12/2010 11:26,2
85123A,12/12/2010 11:46,6
85123A,12/12/2010 12:18,3
85123A,12/12/2010 12:24,6
85123A,12/12/2010 12:35,3
85123A,12/12/2010 12:44,1
85123A,12/12/2010 13:32,6
85123A,12/12/2010 14:27,6
85123A,12/12/2010 16:14,3
85123A,12/13/2010 9:35,27
85123A,12/13/2010 10:24,12
85123A,12/13/2010 10:31,6
85123A,12/13/2010 10:31,32
85123A,12/13/2010 11:21,7
85123A,12/13/2010 11:47,4
85123A,12/13/2010 12:10,6
85123A,12/13/2010 12:57,13
85123A,12/13/2010 13:28,4
85123A,12/13/2010 13:32,2
85123A,12/13/2010 14:36,32
85123A,12/13/2010 15:46,64
85123A,12/13/2010 16:38,32
85123A,12/13/2010 17:40,96
85123A,12/14/2010 10:38,5
85123A,12/14/2010 10:48,12
85123A,12/14/2010 11:26,4
85123A,12/14/2010 11:48,4
85123A,12/14/2010 11:51,6
85123A,12/14/2010 12:58,64
85123A,12/14/2010 12:59,32
85123A,12/14/2010 13:03,6
85123A,12/14/2010 13:06,-1
85123A,12/14/2010 13:31,10
85123A,12/14/2010 13:32,32
85123A,12/14/2010 13:33,10
85123A,12/15/2010 10:54,6
85123A,12/15/2010 11:14,1
85123A,12/15/2010 11:26,4
85123A,12/15/2010 11:53,32
85123A,12/15/2010 12:05,32
85123A,12/15/2010 13:00,6
85123A,12/15/2010 13:24,2
85123A,12/15/2010 14:12,4
85123A,12/15/2010 14:25,24
85123A,12/15/2010 14:29,1
85123A,12/16/2010 8:39,12
85123A,12/16/2010 9:45,32
85123A,12/16/2010 9:46,6
85123A,12/16/2010 10:38,96
85123A,12/16/2010 10:43,12
85123A,12/16/2010 11:07,500
85123A,12/16/2010 12:09,12
85123A,12/16/2010 12:20,6
85123A,12/16/2010 13:02,12
85123A,12/16/2010 13:21,4
85123A,12/16/2010 15:45,12
85123A,12/16/2010 15:47,12
85123A,12/16/2010 16:36,6
85123A,12/16/2010 18:20,32
85123A,12/16/2010 19:04,4
85123A,12/16/2010 19:04,3
85123A,12/16/2010 19:16,24
85123A,12/16/2010 19:19,2
85123A,12/16/2010 19:19,3
85123A,12/17/2010 8:20,6
85123A,12/17/2010 9:37,-500
85123A,12/17/2010 11:30,6
85123A,12/17/2010 13:45,3
85123A,12/17/2010 14:41,4
85123A,12/17/2010 14:49,9
85123A,12/17/2010 14:54,7
85123A,12/17/2010 15:14,6
85123A,12/17/2010 16:53,6
85123A,12/17/2010 16:59,1
85123A,12/17/2010 17:08,5
85123A,12/17/2010 17:12,5
85123A,12/19/2010 14:03,2
85123A,12/19/2010 14:16,2
85123A,12/19/2010 14:58,6
85123A,12/19/2010 15:44,32
85123A,12/20/2010 11:08,6
85123A,12/20/2010 12:25,-24
85123A,12/20/2010 12:51,12
85123A,12/20/2010 13:10,32
85123A,12/20/2010 13:11,1
85123A,12/20/2010 13:21,32
85123A,12/20/2010 13:43,2
85123A,12/21/2010 9:34,6
85123A,12/21/2010 12:18,2
85123A,12/21/2010 13:06,3
85123A,12/21/2010 13:45,24
85123A,12/21/2010 14:54,6
85123A,12/22/2010 12:39,13
85123A,12/22/2010 13:20,-1
85123A,12/22/2010 13:39,6
85123A,12/22/2010 13:46,5
85123A,12/22/2010 14:41,1
85123A,12/23/2010 10:38,6
85123A,12/23/2010 11:06,4
85123A,12/23/2010 15:16,32
85123A,12/23/2010 16:06,5
85123A,1/4/2011 10:00,12
85123A,1/4/2011 11:34,6
85123A,1/4/2011 11:42,10
85123A,1/4/2011 13:25,1
85123A,1/4/2011 14:12,32
85123A,1/4/2011 14:21,4
85123A,1/4/2011 15:50,2
85123A,1/5/2011 10:08,32
85123A,1/5/2011 10:46,128
85123A,1/5/2011 10:51,12
85123A,1/5/2011 11:25,32
85123A,1/5/2011 11:52,7
85123A,1/5/2011 11:52,32
85123A,1/5/2011 12:29,1
85123A,1/5/2011 13:05,2
85123A,1/5/2011 13:05,6
85123A,1/5/2011 13:40,8
85123A,1/5/2011 13:57,3
85123A,1/5/2011 15:30,32
85123A,1/5/2011 15:40,-1
85123A,1/5/2011 15:56,3
85123A,1/5/2011 17:33,6
85123A,1/6/2011 9:00,12
85123A,1/6/2011 11:25,32
85123A,1/6/2011 12:18,32
85123A,1/6/2011 12:31,2
85123A,1/6/2011 12:45,2
85123A,1/6/2011 14:07,12
85123A,1/6/2011 15:41,32
85123A,1/6/2011 16:03,3
85123A,1/6/2011 16:35,12
85123A,1/6/2011 16:41,32
85123A,1/7/2011 9:32,-1
85123A,1/7/2011 9:55,250
85123A,1/7/2011 13:17,32
85123A,1/7/2011 13:39,12
85123A,1/7/2011 14:04,6
85123A,1/7/2011 14:21,24
85123A,1/7/2011 16:32,10
85123A,1/9/2011 11:02,2
85123A,1/9/2011 11:41,32
85123A,1/9/2011 11:43,6
85123A,1/9/2011 12:02,4
85123A,1/9/2011 12:53,15
85123A,1/9/2011 13:02,6
85123A,1/9/2011 14:02,6
85123A,1/9/2011 14:03,8
85123A,1/9/2011 14:42,12
85123A,1/9/2011 15:18,6
85123A,1/10/2011 9:44,6
85123A,1/10/2011 14:57,6
85123A,1/11/2011 8:43,1010
85123A,1/11/2011 9:12,6
85123A,1/11/2011 9:48,32
85123A,1/11/2011 10:04,24
85123A,1/11/2011 12:20,32
85123A,1/11/2011 12:41,2
85123A,1/11/2011 12:55,1930
85123A,1/11/2011 12:56,32
85123A,1/11/2011 14:00,12
85123A,1/11/2011 14:50,32
85123A,1/11/2011 15:02,-1
85123A,1/11/2011 15:42,2
85123A,1/12/2011 9:26,2
85123A,1/12/2011 10:58,6
85123A,1/12/2011 11:18,32
85123A,1/12/2011 11:52,12
85123A,1/12/2011 12:31,1
85123A,1/12/2011 13:16,1
85123A,1/12/2011 13:16,1
85123A,1/12/2011 13:27,4
